"alpha","beta","gamma","q_factor","q","abs_z","val_series","val_integrate","val_dispatch","val_ref","val_ref_quad","series_returned_nan","rel_err_series","rel_err_integrate","rel_err_dispatch","ref_iterations","ref_reached_max"
3,1,18,0.333333333333333,3.0545631755148,18,2.26046743185378e-18,2.2604674318538e-18,2.26046743185378e-18,2.2604674318538e-18,2.2604674318537e-18,FALSE,3.71474255244737e-14,4.4133867939627e-14,3.71474255244737e-14,253,FALSE
10,1,18,0.333333333333333,3.17497927018681,18,4.82835596594304e-21,4.82835596594311e-21,4.82835596594304e-21,4.8283559659431e-21,4.82835596594306e-21,FALSE,3.89530302774251e-15,1.02835999932402e-14,3.89530302774251e-15,255,FALSE
0.3,1,20,0.333333333333333,3.33832585574931,20,4.87631501352769e-21,4.87631501352776e-21,4.87631501352769e-21,4.87631501352776e-21,4.87631501352766e-21,FALSE,7.55970496974085e-15,2.17534367496624e-14,7.55970496974085e-15,265,FALSE
0.7,1,20,0.333333333333333,3.34495945002321,20,3.41156518818626e-21,3.41156518818629e-21,3.41156518818626e-21,3.41156518818628e-21,3.41156518818609e-21,FALSE,5.02784282903263e-14,5.73350498047581e-14,5.02784282903263e-14,265,FALSE
1,1,20,0.333333333333333,3.34991748972701,20,2.61050855263825e-21,2.61050855263829e-21,2.61050855263821e-21,2.61050855263828e-21,2.61050855263827e-21,FALSE,8.9338178558137e-15,5.33147194621141e-15,2.30550138214547e-14,265,FALSE
1.5,1,20,0.333333333333333,3.35814859418204,20,1.67203578867972e-21,1.67203578867973e-21,1.67203578867972e-21,1.67203578867973e-21,1.67203578867966e-21,FALSE,3.6895109511901e-14,4.40941552703207e-14,3.6895109511901e-14,265,FALSE
3,1,20,0.333333333333333,3.38260502349783,20,4.41083011177481e-22,4.41083011177484e-22,4.41083011177481e-22,4.41083011177486e-22,4.41083011177489e-22,FALSE,1.85485282234798e-14,1.15128795869875e-14,1.85485282234798e-14,266,FALSE
10,1,20,0.333333333333333,3.49240852501722,20,9.43203350472297e-25,9.43203350472311e-25,9.43203350472297e-25,9.4320335047231e-25,9.4320335047228e-25,FALSE,1.88889132398962e-14,3.31042809359006e-14,1.88889132398962e-14,268,FALSE
0.3,1,22,0.333333333333333,3.6712065002787,22,3.91875290731712e-25,3.91875290731715e-25,3.91875290731712e-25,3.91875290731716e-25,3.91875290731729e-25,FALSE,4.34716986250852e-14,3.64412352355835e-14,4.34716986250852e-14,279,FALSE
0.7,1,22,0.333333333333333,3.67724222479191,22,2.74485395063704e-25,2.74485395063696e-25,2.74485395063704e-25,2.74485395063696e-25,2.74485395063698e-25,FALSE,2.09108339208447e-14,7.5279002115041e-15,2.09108339208447e-14,279,FALSE
1,1,22,0.333333333333333,3.68175608440157,22,2.10207168463706e-25,2.10207168463706e-25,2.10207168463706e-25,2.10207168463707e-25,2.10207168463705e-25,FALSE,1.09220224064157e-15,1.09220224064157e-15,1.09220224064157e-15,279,FALSE
1.5,1,22,0.333333333333333,3.68925478761001,22,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,1.34808049983949e-25,1.34808049983957e-25,FALSE,5.3817292048544e-14,5.3817292048544e-14,5.3817292048544e-14,279,FALSE
3,1,22,0.333333333333333,3.71157127826411,22,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,3.56696763590792e-26,3.56696763590795e-26,FALSE,7.56291610970649e-15,7.56291610970649e-15,7.56291610970649e-15,280,FALSE
10,1,22,0.333333333333333,3.81239034783965,22,7.63687798773087e-29,7.63687798773087e-29,7.63687798773087e-29,7.63687798773088e-29,7.63687798773091e-29,FALSE,5.57812674026127e-15,5.57812674026127e-15,5.57812674026127e-15,282,FALSE
0.3,1,25,0.333333333333333,4.17066283402182,25,5.41438267499318e-32,5.41438267499334e-32,5.41438267499318e-32,5.41438267499336e-32,5.41438267499385e-32,FALSE,1.2273273723302e-13,9.422315576703e-14,1.2273273723302e-13,305,FALSE
